schoolName,talentCount,officialLink,flags
Admiralty Secondary School,10,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Beatty Secondary School,13,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Bukit Batok Secondary School,11,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Bukit Merah Secondary School,4,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Dunearn Secondary School,1,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Dunman Secondary School,9,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
East Spring Secondary School,1,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Gan Eng Seng School,9,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Hillgrove Secondary School,11,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Hougang Secondary School,11,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Jurong Secondary School,6,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Jurong West Secondary School,9,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Jurongville Secondary School,12,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Loyang View Secondary School,6,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Maris Stella High School (Secondary),18,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Methodist Girls' School (Secondary),12,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
NUS High School of Mathematics and Science,2,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Peirce Secondary School,4,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Presbyterian High School,8,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
"School of Science and Technology, Singapore",1,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Sembawang Secondary School,1,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Seng Kang Secondary School,6,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Serangoon Secondary School,2,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Springfield Secondary School,4,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Whitley Secondary School,2,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Woodgrove Secondary School,2,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Yuan Ching Secondary School,2,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,RE-CHECK
Yusof Ishak Secondary School,10,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
Zhenghua Secondary School,5,https://www.moe.gov.sg/schoolfinder/secondary%20school?admissions=%7B%22value%22%3A%22DSA%22%7D,VAGUE
